"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL4071084";"";"None";"465.52";"1";"0.01";"50";"Cc1nc(-n2cnnn2)ccc1[C@@H](O)CN1CCC2(CC1)CCN(c1ccc(=O)n(C)n1)C2=O";"IC50";"'='";"17200.0";"nM";"4.76";"";"";"UO_0000065";"10.23";"0.19";"4.75";"3.53";"0";"CHEMBL4030012";"Displacement of [35S]MK499 from human ERG expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028831";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"CHEMBL3307715";"";"";"";"17.2"
"CHEMBL4097415";"";"None";"468.51";"0";"0.69";"45";"Cc1c([C@@H](O)CN2CCC3(CC2)CN(c2ccc(=O)n(C)n2)C(=O)CO3)ccc2c1COC2=O";"IC50";"'='";"46000.0";"nM";"4.34";"";"";"UO_0000065";"9.26";"0.17";"3.65";"3.80";"0";"CHEMBL4030012";"Displacement of [35S]MK499 from human ERG expressed in HEK293 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HEK293";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028831";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"CHEMBL3307715";"";"";"";"46.0"
"CHEMBL5269745";"";"None";"531.45";"1";"2.84";"3k";"C[C@@H]1CN(c2sc(C(F)(F)F)nc2-c2cnc(C(F)(F)F)nc2)CCN1C(=O)Cn1cnc(C#N)n1";"IC50";"'='";"2.6";"nM";"8.59";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5251558";"Inhibition of human ERG stably expressed in CHO cells at -80 mV holding voltage by automated QPatch electrophysiological assay";"T";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5247653";"1";"Scientific Literature";"J Med Chem";"2023";"None";"";"BLOCKER";"";"2.6"
"CHEMBL5266293";"";"None";"549.50";"1";"3.11";"7f";"CCc1ccn(CC(=O)N2CCN(c3sc(C(F)(F)F)nc3-c3cnc(C(F)(F)F)nc3)C[C@H]2CO)n1";"IC50";"'='";"8.6";"nM";"8.07";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5251558";"Inhibition of human ERG stably expressed in CHO cells at -80 mV holding voltage by automated QPatch electrophysiological assay";"T";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5247653";"1";"Scientific Literature";"J Med Chem";"2023";"None";"";"BLOCKER";"";"8.6"
"CHEMBL5279193";"";"None";"563.53";"1";"3.50";"8f";"CCc1ccn(CC(=O)N2CCN(c3sc(C(F)(F)F)nc3-c3cnc(C(F)(F)F)nc3)C[C@H]2CCO)n1";"IC50";"'='";"2.9";"nM";"8.54";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5251558";"Inhibition of human ERG stably expressed in CHO cells at -80 mV holding voltage by automated QPatch electrophysiological assay";"T";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5247653";"1";"Scientific Literature";"J Med Chem";"2023";"None";"";"BLOCKER";"";"2.9"
"CHEMBL5278881";"";"None";"535.47";"1";"2.85";"9d";"Cc1ccn(CC(=O)N2CCN(c3sc(C(F)(F)F)nc3-c3cnc(C(F)(F)F)nc3)C[C@@H]2CO)n1";"IC50";"'='";"21.0";"nM";"7.68";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL5251558";"Inhibition of human ERG stably expressed in CHO cells at -80 mV holding voltage by automated QPatch electrophysiological assay";"T";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5247653";"1";"Scientific Literature";"J Med Chem";"2023";"None";"";"BLOCKER";"";"21.0"
"CHEMBL257176";"";"None";"314.35";"0";"3.45";"3";"N#Cc1cccnc1-c1ccc(C(=O)Nc2ccccc2N)cc1";"IC50";"'<'";"31622.78";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL927950";"Inhibition of human ERG channel";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144843";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"-4.5"
"CHEMBL402542";"";"None";"449.99";"0";"4.37";"14c";"CCN1CCN(Cc2cnc(-c3ccc(C(=O)Nc4ccccc4N)cc3)c(Cl)c2)CC1";"IC50";"'='";"8317.64";"nM";"5.08";"";"";"UO_0000065";"11.29";"0.22";"0.71";"6.82";"0";"CHEMBL927950";"Inhibition of human ERG channel";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144843";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"-5.08"
"CHEMBL256985";"";"None";"440.55";"0";"3.59";"14b";"CCN1CCN(Cc2cnc(-c3ccc(C(=O)Nc4ccccc4N)cc3)c(C#N)c2)CC1";"IC50";"'<'";"25118.86";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL927950";"Inhibition of human ERG channel";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144843";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2008";"None";"";"";"";"-4.6"
"CHEMBL3980357";"";"None";"472.58";"0";"1.01";"Example 13-(iii)";"CC(C)(C)OC(=O)NCCN1CC2CN(CCNS(=O)(=O)c3ccc(F)cc3)CC(C1)O2";"IC50";"'<'";"31622.78";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3880847";"Inhibition of human ERG expressed in CHO cells incubated for 10 mins after 3 hrs incubation with Rb+-load buffer by atomic absorption spectrometry based Rb+ efflux assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3880410";"38";"SureChEMBL Patent Bioactivity Data";"";"2009";"CHEMBL3308072";"";"";"";"4.5"
"CHEMBL3925260";"";"None";"474.56";"0";"1.44";"Example 13-(x)";"N#Cc1ccc(OCCN2CC3CN(CCNS(=O)(=O)c4ccc(F)cc4)CC(C2)O3)cc1";"IC50";"'<'";"31622.78";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3880847";"Inhibition of human ERG expressed in CHO cells incubated for 10 mins after 3 hrs incubation with Rb+-load buffer by atomic absorption spectrometry based Rb+ efflux assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3880410";"38";"SureChEMBL Patent Bioactivity Data";"";"2009";"CHEMBL3308072";"";"";"";"4.5"
"CHEMBL3967524";"";"None";"451.55";"0";"1.29";"Example 13-(lxxix)";"N#Cc1ccc(CN2CC3CN(CCNS(=O)(=O)c4ccccc4C#N)CC(C2)O3)cc1";"IC50";"'<'";"31622.78";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3880847";"Inhibition of human ERG expressed in CHO cells incubated for 10 mins after 3 hrs incubation with Rb+-load buffer by atomic absorption spectrometry based Rb+ efflux assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL240";"Voltage-gated inwardly rectifying potassium channel KCNH2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3880410";"38";"SureChEMBL Patent Bioactivity Data";"";"2009";"CHEMBL3308072";"";"";"";"4.5"
